Name,Address,Required Demolition,Stories,Total Units,Below Market Rate Units,Year City Approved,Year Building Completed,Notes,Latitude,Longitude,Incomplete Project?
2344 Fulton,"2344 Fulton St, Berkeley, CA 94704",,Unknown,18,None listed,Not yet approved,Not completed,Pre-application request under review.,37.8661799,-122.2658983,True
1974 Shattuck,"1974 Shattuck Ave, Berkeley, CA",Five commercial buildings; merge four lots. Includes McDonald's and Spats.,28,599,58,2025,Not completed,Tallest proposed building in Berkeley so far. Also labeled as 1950-98 Shattuck Avenue.,37.8726234,-122.2688,True
The Hub,"2128 Oxford St, Berkeley, CA 94704","Two buildings (one mixed-use with 16 rent-controlled units, one commercial). Multiple formerly closed restaurants.",26,456,40,2024,Not completed,,37.870434,-122.266083,True
2190 Shattuck,"2190 Shattuck Ave, Berkeley, CA 94704",,25,326,32,2023,Not completed,Controversial design as opponents worry it could block Golden Gate Bridge view from the Campanile.,37.8694822,-122.2686676,True
2029 University ,"2029 University Ave, Berkeley, CA 94704",Existing non-landmarked 2-story commercial structure and surface parking.,23,240,36,Not yet approved,Not completed,Currently under review.,37.8721264,-122.2699596,True
2113 Kittredge,"2113 Kittredge St, Berkeley, CA 94704","The commercial building on a
landmarked site (preserving the front façade. Former California Theater.",18,211,22,2024,Not completed,Would include a new 300-seat live theater space.,37.8688359,-122.2671987,True
2276 Shattuck,"2276 Shattuck Ave., Berkeley, CA 94704","Retaining of the existing east and south facades of the existing morse block building; Reduction of existing 32,350 square feet of commercial space to 7,486 square feet.",18,84,9,Not yet approved,Not completed,Currently under review.,37.86774,-122.268235,True
2274 Shattuck,"2274 Shattuck Ave, Berkeley, CA 94704",The commercial building with the preservation and renovation the front façade and lobby. Former UA Theater.,17,227,23,2024,Not completed,,37.8679567,-122.2681802,True
2420 Shattuck,"2420 Shattuck Ave, Berkeley, CA 94704","Two existing two-story commercial buildings, merge two lots.",17,132,14,Not yet approved,Not completed,,37.8652768,-122.2680479,True
2109 Milvia ,"2109 Milvia St, Berkeley, CA 94704",Existing parking lot.,14,105,None listed,Not yet approved,Not completed,Currently under review.,37.8705482,-122.2704897,True
Ace Berkeley,"1951 Shattuck Ave, Berkeley, CA",Berkeley Vacuum & Sewing Center.,12,163,None listed,2019,2024,,37.8729198,-122.2681359,False
2015 Blake,"2015 Blake St, Berkeley, CA 94704","One residential building, an associated accessory structure, and two nonresidential buildings.",8,206,23,2023,Not completed,No building permits listed in city database.,37.8631105,-122.2692649,True
The Logan,"2352 Shattuck Ave, Berkeley, CA 94704",,8,204,14,2019,2023,Spread across two adjacent 8-story buildings; 204 units total.,37.86637,-122.2681359,False
